Word,Conc.M,Length (letters),Percent_known,Conc_Category
loathing,1.89,8,1.0,Low
vibe,1.89,4,0.96,Low
innuendo,1.88,8,0.93,Low
sympathy,1.88,8,1.0,Low
wordplay,1.87,8,1.0,Low
future,1.86,6,1.0,Low
accuracy,1.85,8,1.0,Low
sanity,1.85,6,1.0,Low
suspense,1.85,8,1.0,Low
calmness,1.83,8,1.0,Low
fascism,1.83,7,1.0,Low
tendency,1.83,8,1.0,Low
esteem,1.83,6,1.0,Low
affront,1.83,7,1.0,Low
fairness,1.83,8,1.0,Low
fruition,1.82,8,0.97,Low
contempt,1.82,8,1.0,Low
aspect,1.82,6,0.99,Low
gist,1.81,4,0.93,Low
fallacy,1.8,7,0.93,Low
pizzazz,1.8,7,1.0,Low
regard,1.79,6,1.0,Low
enigma,1.79,6,0.93,Low
vitality,1.78,8,0.96,Low
wits,1.76,4,1.0,Low
bonkers,1.76,7,0.93,Low
stigma,1.76,6,1.0,Low
tact,1.76,4,1.0,Low
betrayal,1.76,8,1.0,Low
hype,1.75,4,1.0,Low
appeal,1.73,6,1.0,Low
savagery,1.73,8,0.96,Low
logic,1.72,5,1.0,Low
reality,1.72,7,1.0,Low
insight,1.72,7,1.0,Low
past,1.7,4,1.0,Low
concern,1.7,7,1.0,Low
whim,1.69,4,1.0,Low
hilarity,1.69,8,1.0,Low
amuck,1.68,5,1.0,Low
honor,1.68,5,1.0,Low
taboo,1.67,5,1.0,Low
fixation,1.67,8,0.96,Low
pretence,1.67,8,0.93,Low
fondness,1.66,8,1.0,Low
essence,1.66,7,1.0,Low
expertise,1.64,9,1.0,Low
idealism,1.64,8,1.0,Low
faith,1.63,5,1.0,Low
obscurity,1.63,9,1.0,Low
otherness,1.62,9,0.93,Low
epiphany,1.6,8,1.0,Low
ignorance,1.6,9,1.0,Low
fantasy,1.59,7,1.0,Low
honesty,1.59,7,1.0,Low
allusion,1.58,8,0.93,Low
loyalty,1.57,7,1.0,Low
intent,1.52,6,1.0,Low
courage,1.52,7,1.0,Low
purpose,1.52,7,1.0,Low
doom,1.5,4,1.0,Low
privacy,1.5,7,1.0,Low
optimism,1.48,8,1.0,Low
deviancy,1.46,8,0.96,Low
integrity,1.44,9,1.0,Low
adversity,1.44,9,1.0,Low
tenacity,1.41,8,0.97,Low
godliness,1.41,9,1.0,Low
psyche,1.34,6,1.0,Low
ambiguity,1.3,9,1.0,Low
belief,1.19,6,1.0,Low
